,sort,prep,length,time
0,insertion_sort,sorted,10,1.200009137392044e-06
1,insertion_sort,sorted,100,9.09995287656784e-06
2,insertion_sort,sorted,1000,0.00011859997175633907
3,insertion_sort,sorted,10000,0.0012373999925330281
4,insertion_sort,sorted,100000,0.013042200007475913
5,insertion_sort,sorted,1000000,0.16638650000095367
6,selection_sort,sorted,10,2.900022082030773e-06
7,selection_sort,sorted,100,8.319999324157834e-05
8,selection_sort,sorted,1000,0.0059896999737247825
9,selection_sort,sorted,10000,0.7216575000202283
10,counting_sort,sorted,10,9.560002945363522e-05
11,counting_sort,sorted,100,0.00010510004358366132
12,counting_sort,sorted,1000,0.00018089998047798872
13,counting_sort,sorted,10000,0.0007676000241190195
14,counting_sort,sorted,100000,0.009429800033103675
15,counting_sort,sorted,1000000,0.2059356000390835
16,bubble_sort,sorted,10,1.00000761449337e-06
17,bubble_sort,sorted,100,6.89999433234334e-06
18,bubble_sort,sorted,1000,8.849997539073229e-05
19,bubble_sort,sorted,10000,0.0009488000068813562
20,bubble_sort,sorted,100000,0.01033720001578331
21,bubble_sort,sorted,1000000,0.14375489996746182
22,merge_sort,sorted,10,7.299997378140688e-06
23,merge_sort,sorted,100,9.399995906278491e-05
24,merge_sort,sorted,1000,0.0012152999988757074
25,merge_sort,sorted,10000,0.015599500038661063
26,merge_sort,sorted,100000,0.2024787000264041
27,quick_sort,sorted,10,5.299982149153948e-06
28,quick_sort,sorted,100,6.320001557469368e-05
29,quick_sort,sorted,1000,0.0008681000326760113
30,quick_sort,sorted,10000,0.013174599967896938
31,quick_sort,sorted,100000,0.7070082999998704
32,insertion_sort,reverse_sorted,10,3.600027412176132e-06
33,insertion_sort,reverse_sorted,100,0.00015789997996762395
34,insertion_sort,reverse_sorted,1000,0.01948299998184666
35,insertion_sort,reverse_sorted,10000,1.0441098000155762
36,selection_sort,reverse_sorted,10,3.300025127828121e-06
37,selection_sort,reverse_sorted,100,9.980000322684646e-05
38,selection_sort,reverse_sorted,1000,0.007274299976415932
39,selection_sort,reverse_sorted,10000,0.7266626000055112
40,counting_sort,reverse_sorted,10,4.840001929551363e-05
41,counting_sort,reverse_sorted,100,5.509995389729738e-05
42,counting_sort,reverse_sorted,1000,9.74999857135117e-05
43,counting_sort,reverse_sorted,10000,0.0003953000414185226
44,counting_sort,reverse_sorted,100000,0.00376480002887547
45,counting_sort,reverse_sorted,1000000,0.057599699997808784
46,bubble_sort,reverse_sorted,10,5.00003807246685e-06
47,bubble_sort,reverse_sorted,100,0.00046280003152787685
48,bubble_sort,reverse_sorted,1000,0.05764000001363456
49,bubble_sort,reverse_sorted,10000,5.549064400023781
50,merge_sort,reverse_sorted,10,7.700000423938036e-06
51,merge_sort,reverse_sorted,100,0.00011630001245066524
52,merge_sort,reverse_sorted,1000,0.0016491000424139202
53,merge_sort,reverse_sorted,10000,0.02243730000918731
54,merge_sort,reverse_sorted,100000,0.270928299985826
55,quick_sort,reverse_sorted,10,5.800044164061546e-06
56,quick_sort,reverse_sorted,100,6.340001709759235e-05
57,quick_sort,reverse_sorted,1000,0.0008220999734476209
58,quick_sort,reverse_sorted,10000,0.013205100025516003
59,quick_sort,reverse_sorted,100000,0.369034500035923
60,insertion_sort,unchanged,10,2.3999600671231747e-06
61,insertion_sort,unchanged,100,9.510002564638853e-05
62,insertion_sort,unchanged,1000,0.009526500012725592
63,insertion_sort,unchanged,10000,0.9513814999954775
64,selection_sort,unchanged,10,3.300025127828121e-06
65,selection_sort,unchanged,100,0.00010220002150163054
66,selection_sort,unchanged,1000,0.007450099976267666
67,selection_sort,unchanged,10000,0.6767093999660574
68,counting_sort,unchanged,10,4.7499954234808683e-05
69,counting_sort,unchanged,100,5.360000068321824e-05
70,counting_sort,unchanged,1000,9.290000889450312e-05
71,counting_sort,unchanged,10000,0.00037209998117759824
72,counting_sort,unchanged,100000,0.0040021000313572586
73,counting_sort,unchanged,1000000,0.0528753999969922
74,bubble_sort,unchanged,10,4.8999791033566e-06
75,bubble_sort,unchanged,100,0.0004588000010699034
76,bubble_sort,unchanged,1000,0.054489600006490946
77,bubble_sort,unchanged,10000,5.44569959997898
78,merge_sort,unchanged,10,7.899943739175797e-06
79,merge_sort,unchanged,100,0.00011629995424300432
80,merge_sort,unchanged,1000,0.001699899963568896
81,merge_sort,unchanged,10000,0.022012600034940988
82,merge_sort,unchanged,100000,0.27205639996100217
83,quick_sort,unchanged,10,5.699985194951296e-06
84,quick_sort,unchanged,100,6.390002090483904e-05
85,quick_sort,unchanged,1000,0.0008562000002712011
86,quick_sort,unchanged,10000,0.013038800039794296
87,quick_sort,unchanged,100000,0.36665759998140857
